0.009	0.104	0.097	0.108	0.682
0.046	0.038	0.124	0.123	0.669
0.078	0.045	0.327	0.094	0.456
0.082	0.07	0.124	0.198	0.526
0.03	0.037	0.155	0.082	0.696
0.036	0.025	0.438	0.022	0.479
0.164	0.024	0.198	0.03	0.584
0.085	0.033	0.182	0.16	0.54
0.061	0.074	0.093	0.067	0.705
0.015	0.028	0.155	0.107	0.695
0.058	0.002	0.134	0.066	0.74
0.043	0.014	0.2	0.079	0.664
0.043	0.053	0.083	0.093	0.728
0.048	0.018	0.069	0.179	0.686
0.006	0.191	0.155	0.06	0.588
0.011	0.015	0.078	0.214	0.682
0.052	0.022	0.189	0.166	0.571
0.059	0.066	0.104	0.222	0.549
0.023	0.056	0.118	0.113	0.69
0.032	0.06	0.133	0.079	0.696
0.062	0.043	0.267	0.08	0.548
0.021	0.047	0.14	0.129	0.663
0.023	0.06	0.274	0.092	0.551
0.015	0.021	0.182	0.059	0.723
0.059	0.019	0.079	0.02	0.823
0.054	0.005	0.136	0.154	0.651
0.041	0.1	0.161	0.065	0.633
0.035	0.078	0.111	0.195	0.581
0.048	0.174	0.143	0.145	0.49
0.032	0.037	0.119	0.147	0.665
0.061	0.078	0.117	0.099	0.645
0.067	0.083	0.302	0.048	0.5
0.023	0.04	0.234	0.097	0.606
0.098	0.101	0.069	0.008	0.724
0.006	0.019	0.18	0.012	0.783
0.028	0.053	0.145	0.158	0.616
0.01	0.053	0.128	0.149	0.66
0.064	0.093	0.187	0.093	0.563
0.074	0.045	0.07	0.087	0.724
0.015	0.062	0.07	0.092	0.761
0.041	0.059	0.129	0.206	0.565
0.113	0.017	0.186	0.075	0.609
0.174	0.025	0.145	0.076	0.58
0.018	0.088	0.199	0.111	0.584
0.027	0.018	0.075	0.042	0.838
0.107	0.01	0.136	0.095	0.652
0.001	0.004	0.284	0.048	0.663
0.039	0.022	0.226	0.11	0.603
0.093	0.032	0.122	0.032	0.721
0.004	0.095	0.167	0.265	0.469
0.09	0.057	0.201	0.032	0.62
0.01	0.037	0.291	0.091	0.571
0.098	0.089	0.16	0.067	0.586
0.044	0.086	0.217	0.052	0.601
0.021	0.148	0.169	0.074	0.588
0.07	0.012	0.089	0.137	0.692
0.076	0.043	0.112	0.07	0.699
0.085	0.049	0.128	0.089	0.649
0.188	0.016	0.176	0.056	0.564
0.034	0.042	0.175	0.141	0.608
0.092	0.086	0.221	0.044	0.557
0.065	0.009	0.119	0.057	0.75
0.038	0.01	0.245	0.23	0.477
0.013	0.09	0.193	0.052	0.652
0.025	0.008	0.209	0.103	0.655
0.039	0.029	0.147	0.091	0.694
0.06	0.009	0.223	0.046	0.662
0.245	0.003	0.045	0.17	0.537
0.071	0.004	0.186	0.027	0.712
0.015	0.088	0.125	0.084	0.688
0.067	0.029	0.279	0.178	0.447
0.151	0.018	0.192	0.024	0.615
0.026	0.033	0.17	0.086	0.685
0.061	0.045	0.108	0.052	0.734
0.052	0.024	0.375	0.014	0.535
0.057	0.072	0.2	0.019	0.652
0.117	0.035	0.055	0.056	0.737
0.038	0.004	0.209	0.115	0.634
0.156	0.01	0.198	0.046	0.59
0.078	0.003	0.33	0.057	0.532
0.001	0.028	0.252	0.114	0.605
0.015	0.125	0.181	0.085	0.594
0.022	0.033	0.318	0.106	0.521
0.174	0.008	0.186	0.013	0.619
0.045	0.167	0.045	0.06	0.683
0.056	0.081	0.059	0.03	0.774
0.118	0.074	0.123	0.122	0.563
0.019	0.061	0.133	0.133	0.654
0.138	0.01	0.081	0.045	0.726
0.106	0.004	0.111	0.102	0.677
0.093	0.106	0.138	0.042	0.621
0.018	0.015	0.089	0.191	0.687
0.183	0.187	0.13	0.07	0.43
0.081	0.025	0.044	0.193	0.657
0.085	0.012	0.21	0.057	0.636
0.019	0.007	0.187	0.254	0.533
0.147	0.055	0.164	0.175	0.459
0.028	0.003	0.049	0.047	0.873
0.156	0.052	0.248	0.164	0.38
0.024	0.017	0.209	0.12	0.63
